labels	source	f	m	kw_s	kw_f	kw_m	data_split
SUBJ;FAM;PLUR	Your friends came looking for you, I told them you will be here after midnight.	Tus amigas vinieron a buscarte, les dije que regresarías después de la medianoche.	Tus amigos vinieron a buscarte, les dije que regresarías después de la medianoche.	friends	amigas	amigos	dev
SCMP;IOBJ;OTH;SCMP;SUBJ;OTH;DFCL	Note: If a policy is assigned to a user, it takes precedence over a policy that is assigned to the organization to which this user belongs.	Nota: Si se asigna una política a una usuaria, tendrá prioridad sobre una política asignada a la organización a la que pertenezca esta usuaria.	Nota: Si se asigna una política a un usuario, tendrá prioridad sobre una política asignada a la organización a la que pertenezca este usuario.	user=this [user]	una [usuaria]=esta [usuaria]	un [usuario]=este [usuario]	dev
QUES;SUBJ;PROF;PLUR	Were the original authors reliable?	¿Las autoras originales eran confiables?	¿Los autores originales eran confiables?	original [authors]	las [autoras] originales	los [autores] originales	dev
SUBJ;OTH	The defendant pleaded guilty and agreed to cooperate with the authorities.	La acusada se declaró culpable y accedió a cooperar con las autoridades.	El acusado se declaró culpable y accedió a cooperar con las autoridades.	defendant	la [acusada]	el [acusado]	dev
OPRP;PROF;PLUR	Inspectors will have to be authorized by the state.	Se ha de garantizar que haya un control estatal sobre las inspectoras.	Se ha de garantizar que haya un control estatal sobre los inspectores.	inspectors	las [inspectoras]	los [inspectores]	dev
SUBJ;OTH;PLUR	Interns in architectural firms may help design part of a project.	Las pasantes de las empresas de arquitectura pueden ayudar a diseñar parte de un proyecto.	Los pasantes de las empresas de arquitectura pueden ayudar a diseñar parte de un proyecto.	interns	las [pasantes]	los [pasantes]	dev
SCMP;SUBJ;PROF	Therefore, I also endorse everything the previous colleague has said.	Por consiguiente, yo también suscribo todo lo que ha manifestado la colega anterior.	Por consiguiente, yo también suscribo todo lo que ha manifestado el colega anterior.	previous [colleague]	la [colega] anterior	el [colega] anterior	dev
SUBJ;PROF	But usually, the better executor with the greater persistence wins.	Pero, por lo general, gana la mejor ejecutora con mayor persistencia.	Pero, por lo general, gana el mejor ejecutor con mayor persistencia.	better [executor]	la mejor [ejecutora]	el mejor [ejecutor]	dev
SUBJ;OTH;PPA;PLUR;OPRP;PROF;PLUR;PPA;PLUR	The certificated students can take active and important roles as practically-minded and creative research-based engineers in the various industrial areas including electrical and electronic industries, chemical and material industries, information network area, home information appliances, vehicles, robotics, and medical welfare.	Las estudiantes egresadas pueden tomar roles activos e importantes como ingenieras creativas y con mentalidad práctica, basadas en la investigación en las diversas áreas industriales, incluyendo industrias eléctricas y electrónicas, industrias químicas y de materiales, área de información de red, dispositivos de información del hogar, vehículos, robótica y bienestar médico.	Los estudiantes egresados pueden tomar roles activos e importantes como ingenieros creativos y con mentalidad práctica, basados en la investigación en las diversas áreas industriales, incluyendo industrias eléctricas y electrónicas, industrias químicas y de materiales, área de información de red, dispositivos de información del hogar, vehículos, robótica y bienestar médico.	certificated [students]=creative research-based [engineers]	las [estudiantes] egresadas=[ingenieras] creativas=basadas en la investigación	los [estudiantes] egresados=[ingenieros] creativos=basados en la investigación	dev
IMPR;QUES;SCMP;RSCMP;PROF	Find out who the school's 504 coordinator is.	Averigüe quién es la coordinadora del plan 504 en la escuela.	Averigüe quién es el coordinador del plan 504 en la escuela.	school's 504 [coordinator]	la [coordinadora] del plan 504	el [coordinador] del plan 504	dev
SUBJ;PROF	The director said that the audience in attendance seemed to be very engaged with the film, to the point that the theaters were so quiet that "if a piece of paper was thrown on the floor, you could hear it fall."	La directora dijo que el público asistente parecía estar muy comprometido con la película, hasta el punto de que las salas estaban tan silenciosas que "si se tiraba un trozo de papel al suelo, podías oírlo caer".	El director dijo que el público asistente parecía estar muy comprometido con la película, hasta el punto de que las salas estaban tan silenciosas que "si se tiraba un trozo de papel al suelo, podías oírlo caer".	director	la [directora]	el [director]	dev
SUBJ;OTH	The student whose father is the principal is not very smart.	La alumna cuyo padre es el director no es tan inteligente.	El alumno cuyo padre es el director no es tan inteligente.	student	la [alumna]	el [alumno]	dev
SUBJ;PROF	The author knew private details of things that happened in this house.	La autora conocía detalles privados de cosas que ocurrieron en esta casa.	El autor conocía detalles privados de cosas que ocurrieron en esta casa.	author	la [autora]	el [autor]	dev
QUES;SUBJ;PROF;PLUR;AATR	And, what are these executives addicted to?	Y, ¿a qué son adictas estas ejecutivas?	Y, ¿a qué son adictos estos ejecutivos?	these [executives]=addicted	estas [ejecutivas]=adictas	estos [ejecutivos]=adictos	dev
IOBJ;POSS;POSC;OTH;PLUR	We are able to guarantee our customers highly precise delivery times.	Estamos en condiciones de garantizar a nuestras clientas tiempos de entrega altamente precisos.	Estamos en condiciones de garantizar a nuestros clientes tiempos de entrega altamente precisos.	our [customers]	nuestras [clientas]	nuestros [clientes]	dev
IOBJ;FAM;PLUR	They built his cousins a house.	Les construyeron una casa a sus primas.	Les construyeron una casa a sus primos.	cousins	primas	primos	dev
SUBJ;OTH;PLUR	Tenants of the international house must pay the deposit and first month's rent before moving in.	Las inquilinas de la casa internacional deben pagar el depósito y primer mes de alquiler antes de instalarse.	Los inquilinos de la casa internacional deben pagar el depósito y primer mes de alquiler antes de instalarse.	tenants	las [inquilinas]	los [inquilinos]	dev
SUBJ;NAT;PROF	the Danish cyclist that won many metals and the heart of fans.	La ciclista danesa que ganó muchas medallas y el corazón de sus fans.	El ciclista danés que ganó muchas medallas y el corazón de sus fans.	danish [cyclist]	la [ciclista] danesa	el [ciclista] danés	dev
SUBJ;PROF;PLUR	Then maybe these workers could organize a union.	Entonces, estas obreras tal vez podrían organizar un sindicato.	Entonces, estos obreros tal vez podrían organizar un sindicato.	theses [workers]	estas [obreras]	estos [obreros]	dev
SCMP;SUBJ;PROF;PLUR	I trust the honourable deputies will excuse my German.	Espero que las distinguidas diputadas disculpen mi acento.	Espero que los distinguidos diputados disculpen mi acento.	honourable [deputies]	las distinguidas [diputadas]	los distinguidos [diputados]	dev
QUES;SUBJ;FAM	If you checked “yes”, did your sibling use it for educational purposes?	Si marcó que “sí”, ¿lo usó su hermana para fines educativos?	Si marcó que “sí”, ¿lo usó su hermano para fines educativos?	sibling	hermana	hermano	dev
SCMP;SUBJ;PROF;PLUR	We have seen, as both Commissioners have said, a paralysis, a callous indifference, and we have seen a lack of moral or political leadership in the world.	Como han dicho ambas comisarias, hemos observado una parálisis, una insensible indiferencia, y hemos visto la falta de liderazgo moral o político en el mundo.	Como han dicho ambos comisarios, hemos observado una parálisis, una insensible indiferencia, y hemos visto la falta de liderazgo moral o político en el mundo.	both [commissioners]	ambas [comisarias]	ambos [comisarios]	dev
DOBJ;NAT;PROF;SCMP;AATR;PPA;DFCL	I know a Danish driver who was 'imprisoned' and who is receiving unbelievably bad treatment.	Conozco a una conductora danesa que fue "encarcelada" y que está recibiendo un trato increíblemente malo.	Conozco a un conductor danés que fue "encarcelado" y que está recibiendo un trato increíblemente malo.	danish [driver]=imprisoned	una [conductora] danesa=encarcelada	un [conductor] danés=encarcelado	dev
SUBJ;OTH	One day the handsome neighbor drives the other car to work.	Un día la guapa vecina conduce el otro coche a trabajar.	Un día el guapo vecino conduce el otro coche a trabajar.	handsome [neighbor]	la guapa [vecina]	el guapo [vecino]	dev
DOBJ;FAM;POSS;POSC	Yesterday in the park I met a friend of yours.	Ayer en el parque me encontré a una amiga tuya.	Ayer en el parque me encontré a un amigo tuyo.	[friend] of yours	una [amiga] tuya	un [amigo] tuyo	dev
SUBJ;FAM;RSCMP;PROF	My friend is a curator at New York's most prestigious museum.	Mi amiga es una curadora del museo neoyorquino más prestigioso.	Mi amigo es un curador del museo neoyorquino más prestigioso.	friend=curator	amiga=una [curadora]	amigo=un [curador]	dev
SUBJ;POSS;POSC;PROF	Our dancer is real and awesome!	¡Nuestra bailarina es real y temible!	¡Nuestro bailarín es real y temible!	our [dancer]	nuestra [bailarina]	nuestro [bailarín]	dev
SCMP;SUBJ;FAM	And even more so if the victim was a close friend.	Y más aún si la víctima era una amiga íntima.	Y más aún si la víctima era un amigo íntimo.	close [friend]	una [amiga] íntima	un [amigo] íntimo	dev
SUBJ;OTH;PLUR	Sick people with severe brain trauma who awaken with the ability to do things they could not do before.	Enfermas con severos traumas cerebrales que despiertan con la habilidad de hacer cosas que antes no podían.	Enfermos con severos traumas cerebrales que despiertan con la habilidad de hacer cosas que antes no podían.	[sick people]	enfermas	enfermos	dev
IOBJ;OTH;PLUR	Fans will love this season.	A las fans les encantará esta temporada.	A los fans les encantará esta temporada.	fans	las [fans]	los [fans]	dev
SUBJ;PROF;PLUR	Some colleagues are keen to support certain European/Latin-American organizations, and I concur with that.	Algunas colegas insisten en apoyar a determinadas organizaciones europeo-latinoamericanas, y yo estoy de acuerdo.	Algunos colegas insisten en apoyar a determinadas organizaciones europeo-latinoamericanas, y yo estoy de acuerdo.	some [colleagues]	algunas [colegas]	algunos [colegas]	dev
DOBJ;PROF;PLUR	There are eight developers who collect development data and distribute it free of charge.	Hay ocho desarrolladoras que juntan datos sobre el desarrollo y lo distribuyen gratuitamente.	Hay ocho desarrolladores que juntan datos sobre el desarrollo y lo distribuyen gratuitamente.	developers	desarrolladoras	desarrolladores	dev
OPRP;FAM;PLUR	If you are younger than 26, you can be under your parents' plan.	Si eres menor de 26 años, puedes estar bajo el plan de tus madres.	Si eres menor de 26 años, puedes estar bajo el plan de tus padres.	parents	madres	padres	dev
SUBJ;PROF	A little trouble in the process, but the seller resolved it at the first speed.	Un pequeño problema en el proceso, pero la vendedora lo resolvió a la primera velocidad.	Un pequeño problema en el proceso, pero el vendedor lo resolvió a la primera velocidad.	seller	la [vendedora]	el [vendedor]	dev
QUES;SUBJ;OTH;PLUR	What kind of paradise will sinners wandering in the wasteland build?	¿Qué clase de paraíso construirán las pecadoras que vagan por el páramo?	¿Qué clase de paraíso construirán los pecadores que vagan por el páramo?	sinners	las [pecadoras]	los [pecadores]	dev
SUBJ;FAM;PLUR	Children are at risk in many of these states and this all underlines the very pressing need for economic policies to be pursued which will alleviate poverty and will not increase it.	Las niñas están en peligro en muchos de esos estados y todo ello pone de relieve la imperiosa necesidad de que se apliquen políticas económicas que alivien la pobreza y no la acentúen.	Los niños están en peligro en muchos de esos estados y todo ello pone de relieve la imperiosa necesidad de que se apliquen políticas económicas que alivien la pobreza y no la acentúen.	children	las [niñas]	los [niños]	dev
SCMP;IOBJ;OTH;PLUR	Studies show that giving patients bad news right before surgery can drastically increase their chances of complications on the table.	Recientes estudios muestran que darles malas noticias a las pacientes antes de la cirugía pueden drásticamente incrementar la posibilidad de complicaciones en la mesa de operaciones.	Recientes estudios muestran que darles malas noticias a los pacientes antes de la cirugía pueden drásticamente incrementar la posibilidad de complicaciones en la mesa de operaciones.	patients	las [pacientes]	los [pacientes]	dev
SCMP;SUBJ;FAM;PLUR	The fact that one million children on this earth work as prostitutes at the same time as dark forces disseminate child pornography is deeply alarming and causes a vast amount of bitterness.	Resulta profundamente alarmante y produce enorme amargura que en este planeta exista un millón de niñas que viven de la prostitución y que oscuras fuerzas se dediquen a distribuir pornografía infantil.	Resulta profundamente alarmante y produce enorme amargura que en este planeta exista un millón de niños que viven de la prostitución y que oscuras fuerzas se dediquen a distribuir pornografía infantil.	one million [children]	un millón de [niñas]	un millón de [niños]	dev
SUBJ;PROF;PLUR	The workers of that factory are on a strike.	Las trabajadoras de la fábrica están de huelga.	Los trabajadores de la fábrica están de huelga.	workers	las [trabajadoras]	los [trabajadores]	dev
DOBJ;OTH;PLUR	We are looking for volunteers for the new program.	Estamos buscando voluntarias para el nuevo programa.	Estamos buscando voluntarios para el nuevo programa.	volunteers	voluntarias	voluntarios	dev
SUBJ;DROP;RSCMP;PROF	I am now acting president of the powerful corporation.	Ahora soy presidenta en funciones de la poderosa corporación.	Ahora soy presidente en funciones de la poderosa corporación.	I=acting [president]	(yo)=[presidenta] en funciones	(yo)=[presidente] en funciones	dev
SUBJ;DROP;AATR;PPA	I'm not so giddy.	Yo no soy tan atolondrada.	Yo no soy tan atolondrado.	I=so giddy	(yo)=tan atolondrada	(yo)=tan atolondrado	dev
SUBJ;PROF;NAT;APRD;PPA	The author from Rumania was disqualified from the contest because of plagiarism.	La autora rumana quedó descalificada en el concurso por plagio.	El autor rumano quedó descalificado en el concurso por plagio.	[author] from rumania=disqualified	la [autora] rumana=descalificada	el [autor] rumano=descalificado	dev
SUBJ;NAT;FAM;RSCMP;PROF	My Italian neighbor is a very good cook.	Mi vecina italiana es muy buena cocinera.	Mi vecino italiano es muy buen cocinero.	italian [neighbor]=very good cook	[vecina] italiana=muy buena [cocinera]	[vecino] italiano=muy buen [cocinero]	dev
SUBJ;PROF;PLUR	Not only can the athletes model positive behavior for the astute young women, but they can serve as mentors.	Las atletas no sólo pueden ser un modelo de comportamiento positivo para las astutas jóvenes, sino que pueden servir de mentores.	Los atletas no sólo pueden ser un modelo de comportamiento positivo para las astutas jóvenes, sino que pueden servir de mentores.	athletes	las [atletas]	los [atletas]	dev
SCMP;SUBJ;PLUR;SCMP;OTH;PLUR	That is why we border residents should take an interest.	Es por ello que nosotras, las residentes fronterizas, deberíamos tener interés.	Es por ello que nosotros, los residentes fronterizos, deberíamos tener interés.	we=border [residents]	nosotras=las [residentes] fronterizas	nosotros=los [residentes] fronterizos	dev
FRAG;DOBJ;PROF	For the first time, there is a representative of the Hungarian minority in the government;	Por primera vez hay en el gobierno una delegada de la minoría húngara;	Por primera vez hay en el gobierno un delegado de la minoría húngara;	representative	una [delegada]	un [delegado]	dev
SUBJ;FAM;PPA;PLUR	It is 8.30 in the morning, and around ten children are sitting on the ground outside Emelda's house, as they do every weekday.	Son las ocho y media de la mañana y, al igual que todos los demás días de semana, hay unas diez niñas sentadas en el suelo afuera de la casa de Emelda.	Son las ocho y media de la mañana y, al igual que todos los demás días de semana, hay unos diez niños sentados en el suelo afuera de la casa de Emelda.	around ten [children]=sitting	unas diez [niñas] sentadas	unos diez [niños] sentados	dev
SUBJ;POSS;POSC;OTH;PLUR	But for all that, our fellow citizens do not feel better protected.	Pero por todo eso, nuestras conciudadanas no tienen el sentimiento de estar mejor protegidos.	Pero por todo eso, nuestros conciudadanos no tienen el sentimiento de estar mejor protegidos.	fellow our [fellow citizens]	nuestras [conciudadanas]	nuestros [conciudadanos]	dev
DOBJ;PROF	We have a wonderful, amazing, fast and skillful cook.	Tenemos una cocinera estupenda, maravillosa, rápida y hábil.	Tenemos un cocinero estupendo, maravilloso, rápido y hábil.	cook=wonderful=amazing=fast	una [cocinera]=estupenda=maravillosa=rápida	un [cocinero]=estupendo=maravilloso=rápido	dev
SCMP;IOBJ;PROF;PLUR	Therefore we have introduced this Incident Reporting System giving employees the possibility to report via Internet or Telephone any misconduct they may observe.	Por lo tanto, hemos implementado este Sistema de Denuncia de Incidentes para brindarle a las empleadas la posibilidad de denunciar a través de Internet o teléfono cualquier mala conducta que pudieran observar.	Por lo tanto, hemos implementado este Sistema de Denuncia de Incidentes para brindarle a los empleados la posibilidad de denunciar a través de Internet o teléfono cualquier mala conducta que pudieran observar.	employees	las [empleadas]	los [empleados]	dev
OPRP;OTH	Likewise, readers can identify with the traveler.	Igualmente, los lectores pueden identificarse con la viajera.	Igualmente, los lectores pueden identificarse con el viajero.	traveler	la [viajera]	el [viajero]	dev
OPRP;PROF	The victim was a senator's daughter.	La víctima fue la hija de una senadora.	La víctima fue la hija de un senador.	senator's	de una [senadora]	de un [senador]	dev
SUBJ;OTH;AATR;PPA	It's was an accident and the driver was not intoxicated nor did they hit the petit girl intentionally.	Fue un accidente y la conductora no estaba intoxicada ni había atropellado a la niña pequeña intencionalmente.	Fue un accidente y el conductor no estaba intoxicado ni había atropellado a la niña pequeña intencionalmente.	driver=intoxicated	la [conductora]=intoxicada	el [conductor]=intoxicado	dev
OPRP;PROF	The report explains the cause of the accident the opposition labor deputy had.	El informe explica la causa del accidente sufrido por la diputada laborista opositora.	El informe explica la causa del accidente sufrido por el diputado laborista opositor.	opposition labor [deputy]	la [diputada] laborista opositora	el [diputado] laborista opositor	dev
SUBJ;OTH;PLUR	That being so, not all students have the opportunity to take part in activities which develop an international outlook.	Por lo tanto, no todas las estudiantes tienen la posibilidad de participar en las actividades que contribuyen a aumentar la internacionalización.	Por lo tanto, no todos los estudiantes tienen la posibilidad de participar en las actividades que contribuyen a aumentar la internacionalización.	all [students]	todas las [estudiantes]	todos los [estudiantes]	dev
QUES;SUBJ;OTH;AATR;PPA	Where was the offender arrested?	¿Dónde fue arrestada la delincuente?	¿Dónde fue arrestado el delincuente?	offender=arrested	la [delincuente]=arrestada	el [delincuente]=arrestado	dev
SUBJ;DROP;AATR;PPA	I am very grateful you stayed with me the rest of the evening.	Estoy muy agradecida de que te hayas quedado el resto de la noche conmigo.	Estoy muy agradecido de que te hayas quedado el resto de la noche conmigo.	I=very grateful	(yo)=muy agradecida	(yo)=muy agradecido	dev
SUBJ;PROF;PLUR	Diplomats can negotiate truces (useful when you need some time to rebuild your strength) or alliances.	Las diplomáticas pueden negociar treguas (útil cuando se necesita algo de tiempo para reconstruir su fuerza) o alianzas.	Los diplomáticos pueden negociar treguas (útil cuando se necesita algo de tiempo para reconstruir su fuerza) o alianzas.	diplomats	las [diplomáticas]	los [diplomáticos]	dev
SUBJ;PLUR;AATR;PPA;PLUR;AATR;PPA;PLUR;DFCL	Nobody is asking for a squaring of accounts, only that those who committed those barbarous deeds should be tried subject to guarantees - which their victims did not have - and should be sentenced.	Nadie quiere un ajuste de cuentas, solo que aquellas que cometieron dichas barbaridades sean juzgadas con garantías -las que no tuvieron sus víctimas- y que sean condenadas.	Nadie quiere un ajuste de cuentas, solo que aquellos que cometieron dichas barbaridades sean juzgados con garantías -las que no tuvieron sus víctimas- y que sean condenados.	those [who]=tried=sentenced	aquellas [que]=juzgadas=condenadas	aquellos [que]=juzgados=condenados	dev
IOBJ;OTH;PLUR	Show respondents some objects that are all the same except one.	Muestre a las encuestadas algunos objetos que sean todos iguales excepto uno.	Muestre a los encuestados algunos objetos que sean todos iguales excepto uno.	respondents	las [encuestadas]	los [encuestados]	dev
SUBJ;PROF	The teacher transcribed the story and published it.	La profesora transcribió la historia y la publicó.	El profesor transcribió la historia y la publicó.	teacher	la [profesora]	el [profesor]	dev
SUBJ;PROF;PLUR;RSCMP;PPA;NAT;PROF;PLUR	The authors of the project are two well-known Danish architect Wilhelm Dalerup and Moeller.	Las autoras del proyecto son dos conocidas arquitectas danesas.	Los autores del proyecto son dos conocidos arquitectos daneses.	authors=two well-known danish [architects]	las [autoras]=dos conocidas [arquitectas] danesas	los [autores]=dos conocidos [arquitectos] daneses	dev
SUBJ;POSS;POSC;PROF;RSCMP;PROF;RSCMP;OTH	Our founder is a scientist, an innovator.	Nuestra fundadora es una científica, una innovadora.	Nuestro fundador es un científico, un innovador.	our [founder]=scientist=innovator	nuestra [fundadora]=una [científica]=una [innovadora]	nuestro [fundador]=un [científico]=un [innovador]	dev
SCMP;SUBJ;PROF	However, we have the situation of how much use value the worker will sacrifice.	Sin embargo, tenemos la situación de cuánto valor de uso la obrera va a sacrificar.	Sin embargo, tenemos la situación de cuánto valor de uso el obrero va a sacrificar.	worker	la [obrera]	el [obrero]	dev
SUBJ;POSS;POSC;PROF	Our professional photographer will be taking candid photos during the ceremony as well as posed/formal photos of the wedding couple after the ceremony.	Nuestra fotógrafa profesional tomará fotos espontáneas durante la ceremonia, así como también fotos posturales / formales de los novios después de la ceremonia.	Nuestro fotógrafo profesional tomará fotos espontáneas durante la ceremonia, así como también fotos posturales / formales de los novios después de la ceremonia.	our professional [photographer]	nuestra [fotógrafa] profesional	nuestro [fotógrafo] profesional	dev
SUBJ;FAM;PLUR	Friends breaking bread with friends in a restaurant.	Amigas compartiendo el pan en un restaurante.	Amigos compartiendo el pan en un restaurante.	friends	amigas	amigos	dev
IOBJ;PLUR;IOBJ;PLUR	It seems to us that industry brings with it risks, as it has been said, in terms of safety and the subsequent use or recycling of waste.	A nosotras nos parece que esa industria entraña riesgos, como ya han dicho, de seguridad y de utilización posterior o reciclaje de los residuos, riesgos que no podemos aceptar.	A nosotros nos parece que esa industria entraña riesgos, como ya han dicho, de seguridad y de utilización posterior o reciclaje de los residuos, riesgos que no podemos aceptar.	to [us]	a [nosotras]=nos	a [nosotros]=nos	dev
SUBJ;PROF;PLUR	Recently a group of delegates from several countries around the world gathered at the conference to identify the issues that are more pertinent to the current situation and established a group of recommendations with the goal to solve these problems.	Recientemente, un grupo de delegadas de varios países del mundo se reunió en la conferencia para identificar las cuestiones más relevantes de la situación actual y estableció un grupo de recomendaciones con el objetivo de resolver estos problemas.	Recientemente, un grupo de delegados de varios países del mundo se reunió en la conferencia para identificar las cuestiones más relevantes de la situación actual y estableció un grupo de recomendaciones con el objetivo de resolver estos problemas.	group of [delegates]	un grupo de [delegadas]	un grupo de [delegados]	dev
QUES;SCMP;SUBJ;FAM	But what if the older child needs a kidney?	Pero ¿qué sucede si la hija mayor necesita un riñón?	Pero ¿qué sucede si el hijo mayor necesita un riñón?	older [child]	la [hija] mayor	el [hijo] mayor	dev
RSCMP;ANAN;PROF	This is not the only benefit of being a famous influencer.	Este no es el único beneficio de ser una famosa influencer.	Este no es el único beneficio de ser un famoso influencer.	famous [influencer]	una famosa [influencer]	un famoso [influencer]	dev
QUES;SCMP;SUBJ;PROF;SCMP;AATR;PPA;DFCL	What does a fired worker want?	¿Qué es lo que quiere una trabajadora que ha sido despedida?	¿Qué es lo que quiere un trabajador que ha sido despedido?	fired [worker]	una [trabajadora]=despedida	un [trabajador]=despedido	dev
SUBJ;PROF	However, this brilliant scientist is still a human being.	Sin embargo, esta científica brillante sigue siendo un ser humano.	Sin embargo, este científico brillante sigue siendo un ser humano.	this brilliant [scientist]	esta [científica] brillante	este [científico] brillante	dev
IOBJ;OTH	Each of these words conveys something special to the reader.	Cada una de estas palabras transmite algo especial a la lectora.	Cada una de estas palabras transmite algo especial al lector.	to the [reader]	a la [lectora]	al [lector]	dev
FRAG;DOBJ;FAM;PLUR;DIFF	A lot of nosy neighbors.	Hay muchas vecinas entrometidas.	Hay muchos vecinos entrometidos.	lot of nosy [neighbors]	muchas [vecinas] entrometidas	muchos [vecinos] entrometidos	dev
