labels	source	ff	fm	mf	mm	kw_s	kw_f	kw_m
SUBJ;PLUR;PROF;ANAN;AATR;OPRP	All employees work responsibly, while protecting the environment and the health of their colleagues and the surrounding communities.	Toutes les employées travaillent de façon responsable, tout en protégeant l’environnement et la santé de leurs collègues et des communautés environnantes.	Toutes les employées travaillent de façon responsable, tout en protégeant l’environnement et la santé de leurs collègues et des communautés environnantes.	Tous les employés travaillent de façon responsable, tout en protégeant l’environnement et la santé de leurs collègues et des communautés environnantes.	Tous les employés travaillent de façon responsable, tout en protégeant l’environnement et la santé de leurs collègues et des communautés environnantes.	all [employees];colleagues	employées=toutes;collègues	employés=tous;collègues
SUBJ;PLUR;DOBJ;REL	The Anglicans divided the parishioners of the region.	Les anglicanes divisèrent les paroissiennes de la région.	Les anglicanes divisèrent les paroissiens de la région.	Les anglicans divisèrent les paroissiennes de la région.	Les anglicans divisèrent les paroissiens de la région.	Anglicans;parishioners	anglicanes;paroissiennes	anglicans;paroissiens
ANAN;SUBJ;FAM;AATR;GLNK	Any procreator or quasi-guardian has the right to submit to the court a request for help in case of violence in the family, before any judiciary debates between the parties.	Toute procréatrice ou quasi-tutrice a le droit de soumettre au tribunal une demande d’aide en cas de violence dans la famille, avant tout débat judiciaire entre les parties.	Toute procréatrice ou quasi-tuteur a le droit de soumettre au tribunal une demande d’aide en cas de violence dans la famille, avant tout débat judiciaire entre les parties.	Tout procréateur ou quasi-tutrice a le droit de soumettre au tribunal une demande d’aide en cas de violence dans la famille, avant tout débat judiciaire entre les parties.	Tout procréateur ou quasi-tuteur a le droit de soumettre au tribunal une demande d’aide en cas de violence dans la famille, avant tout débat judiciaire entre les parties.	any [procreator];quasi-guardian	toute [procréatrice];quasi-tutrice	tout [procréateur];quasi-tuteur
PLUR;OPRP;REL;GLNK	There was a lot of violence towards apostates and heretics, due to the proliferation of sects.	Il y avait beaucoup de violence envers les apostates et les hérétiques, en raison de la prolifération des sectes.	Il y avait beaucoup de violence envers les apostates et les hérétiques, en raison de la prolifération des sectes.	Il y avait beaucoup de violence envers les apostats et les hérétiques, en raison de la prolifération des sectes.	Il y avait beaucoup de violence envers les apostats et les hérétiques, en raison de la prolifération des sectes.	apostates;heretics	apostates;hérétiques	apostats;hérétiques
SUBJ;ANAN;NAT;PLUR;GLNK	The Arabs and Africans transformed the conference into a stage for anticolonialist revenge.	Les Arabes et Africaines ont transformé la conférence en scène de revanche anticolonialiste.	Les Arabes et Africains ont transformé la conférence en scène de revanche anticolonialiste.	Les Arabes et Africaines ont transformé la conférence en scène de revanche anticolonialiste.	Les Arabes et Africains ont transformé la conférence en scène de revanche anticolonialiste.	Arabs;Africans	Arabes;Africaines	Arabes;Africains
SUBJ;ANAN;NAT;PLUR	Around 3.5 million Armenians and Ukrainians visit the capital.	Environ 3,5 millions d’Arméniennes et Ukrainiennes visitent la capitale.	Environ 3,5 millions d’Arméniennes et Ukrainiens visitent la capitale.	Environ 3,5 millions d’Arméniens et Ukrainiennes visitent la capitale.	Environ 3,5 millions d’Arméniens et Ukrainiens visitent la capitale.	Armenians;Ukrainians	Arméniennes;Ukrainiennes	Arméniens;Ukrainiens
SUBJ;DOBJ;FAM	The arranger can see the suitor before the wedding.	L’arrangeuse peut voir la prétendante avant le mariage.	L’arrangeuse peut voir le prétendant avant le mariage.	L’arrangeur peut voir la prétendante avant le mariage.	L’arrangeur peut voir le prétendant avant le mariage.	arranger;suitor	arrangeuse;la [prétendante]	arrangeur;le [prétendant]
ANAN;SUBJ;PLUR;PROF	Artists and programmers have a totally different, diametrically opposed way of approaching problems.	Les artistes et programmeuses ont une façon totalement différente, diamétralement opposée d’approcher les problèmes.	Les artistes et programmeurs ont une façon totalement différente, diamétralement opposée d’approcher les problèmes.	Les artistes et programmeuses ont une façon totalement différente, diamétralement opposée d’approcher les problèmes.	Les artistes et programmeurs ont une façon totalement différente, diamétralement opposée d’approcher les problèmes.	artists;programmers	artistes;programmeuses	artistes;programmeurs
SUBJ;PLUR;DOBJ;ANAN;OTH;NAT	Many Asians are not meeting their democratic obligations and continue to deny their expats fundamental human rights and freedoms.	Beaucoup d’Asiatiques ne remplissent pas leurs obligations démocratiques et continuent de priver leurs expatriées des droits humains fondamentaux et des libertés.	Beaucoup d’Asiatiques ne remplissent pas leurs obligations démocratiques et continuent de priver leurs expatriés des droits humains fondamentaux et des libertés.	Beaucoup d’Asiatiques ne remplissent pas leurs obligations démocratiques et continuent de priver leurs expatriées des droits humains fondamentaux et des libertés.	Beaucoup d’Asiatiques ne remplissent pas leurs obligations démocratiques et continuent de priver leurs expatriés des droits humains fondamentaux et des libertés.	Asians;expats	Asiatiques;expatriées	Asiatiques;expatriés
SUBJ;PLUR;PROF;AATR;GLNK	A few aspirants and professionals have taken a stance.	Quelques aspirantes et professionnelles ont pris position.	Quelques aspirantes et professionnels ont pris position.	Quelques aspirants et professionnelles ont pris position.	Quelques aspirants et professionnels ont pris position.	aspirants;professionals	aspirantes;professionnelles	aspirants;professionnels
SUBJ;OTH;NAT;SCMP;GLNK	The assignee must be a Tunisian.	La cessionnaire doit être une Tunisienne.	La cessionnaire doit être un Tunisien.	Le cessionnaire doit être une Tunisienne.	Le cessionnaire doit être un Tunisien.	assignee;Tunisian	la [cessionnaire];une [Tunisienne]	le [cessionnaire];un [Tunisien]
SUBJ;PROF;DOBJ	The auxiliary should listen to the nurse.	L’auxiliaire devrait écouter l’infirmière.	L’auxiliaire devrait écouter l’infirmier.	L’auxiliaire devrait écouter l’infirmière.	L’auxiliaire devrait écouter l’infirmier.	auxiliary;nurse	auxiliaire;infirmière	auxiliaire;infirmier
ANAN;NAT;PLUR;OPRP;GLNK	The origin of the connection of tryptophan to sexual potency comes from the Aztecs or the Maya.	L’origine de la connexion du tryptophane à la puissance sexuelle vient des Aztèques ou des Mayas.	L’origine de la connexion du tryptophane à la puissance sexuelle vient des Aztèques ou des Mayas.	L’origine de la connexion du tryptophane à la puissance sexuelle vient des Aztèques ou des Mayas.	L’origine de la connexion du tryptophane à la puissance sexuelle vient des Aztèques ou des Mayas.	Aztecs;Maya	Aztèques;Mayas	Aztèques;Mayas
APRD;SUBJ;PROF;DFCL	My bailiff said that you are quick.	Mon huissière a dit que vous êtes rapide.	Mon huissière a dit que vous êtes rapide.	Mon huissier a dit que vous êtes rapide.	Mon huissier a dit que vous êtes rapide.	bailiff;you	huissière;vous	huissier;vous
SUBJ;PLUR;PROF;SCMP	Can bakers become gastronomes?	Est-ce que les pâtissières peuvent devenir gastronomes ?	Est-ce que les pâtissières peuvent devenir gastronomes ?	Est-ce que les pâtissiers peuvent devenir gastronomes ?	Est-ce que les pâtissiers peuvent devenir gastronomes ?	bakers;gastronomes	pâtissières;gastronomes	pâtissiers;gastronomes
SUBJ;PROF	The banker won't buy it and the broker is out of work.	La banquière ne veut pas l’acheter et la courtière est sans travail.	La banquière ne veut pas l’acheter et le courtier est sans travail.	Le banquier ne veut pas l’acheter et la courtière est sans travail.	Le banquier ne veut pas l’acheter et le courtier est sans travail.	banker;broker	la [banquière];la [courtière]	le [banquier];le [courtier]
SUBJ;PLUR;OPRP;REL;DEMO	The Baptists own a radio station that only plays hymns for those who listen regularly.	Les baptistes possèdent une station de radio qui ne joue que des hymnes pour celles qui écoutent régulièrement.	Les baptistes possèdent une station de radio qui ne joue que des hymnes pour ceux qui écoutent régulièrement.	Les baptistes possèdent une station de radio qui ne joue que des hymnes pour celles qui écoutent régulièrement.	Les baptistes possèdent une station de radio qui ne joue que des hymnes pour ceux qui écoutent régulièrement.	Baptists;those	baptistes;celles	baptistes;ceux
PLUR;DOBJ;ANAN;OTH;NAT;OPRP	Minimal penalties were imposed to express sympathy with the battlers confronting the Cubans.	Des sanctions minimales ont été imposées pour exprimer de la sympathie avec les battantes affrontant les Cubaines.	Des sanctions minimales ont été imposées pour exprimer de la sympathie avec les battantes affrontant les Cubains.	Des sanctions minimales ont été imposées pour exprimer de la sympathie avec les battants affrontant les Cubaines.	Des sanctions minimales ont été imposées pour exprimer de la sympathie avec les battants affrontant les Cubains.	battlers;Cubans	battantes;Cubaines	battants;Cubains
ANAN;SUBJ;PLUR;OTH	Unfortunately, beginners understand neither public-key encryption, nor key management, and their assistants do little to help.	Malheureusement, les débutantes ne comprennent ni le chiffrement à clé publique, ni la gestion des clés, et leurs assistantes font peu pour aider.	Malheureusement, les débutantes ne comprennent ni le chiffrement à clé publique, ni la gestion des clés, et leurs assistants font peu pour aider.	Malheureusement, les débutants ne comprennent ni le chiffrement à clé publique, ni la gestion des clés, et leurs assistantes font peu pour aider.	Malheureusement, les débutants ne comprennent ni le chiffrement à clé publique, ni la gestion des clés, et leurs assistants font peu pour aider.	beginners;assistants	débutantes;assistantes	débutants;assistants
SUBJ;PLUR;DOBJ;ANAN;NAT	The Belarusians meet the Poles here every year.	Les Biélorusses rencontrent les Polonaises ici chaque année.	Les Biélorusses rencontrent les Polonais ici chaque année.	Les Biélorusses rencontrent les Polonaises ici chaque année.	Les Biélorusses rencontrent les Polonais ici chaque année.	Belarusians;Poles	Biélorusses;Polonaises	Biélorusses;Polonais
SUBJ;ANAN;NAT;PLUR;GLNK	The Beninese and Burkinese fused their traditional folk music.	Les Béninoises et Burkinabées ont fusionné leur musique folklorique traditionnelle.	Les Béninoises et Burkinabés ont fusionné leur musique folklorique traditionnelle.	Les Béninois et Burkinabées ont fusionné leur musique folklorique traditionnelle.	Les Béninois et Burkinabés ont fusionné leur musique folklorique traditionnelle.	Beninese;Burkinese	Béninoises;Burkinabées	Béninois;Burkinabés
PLUR;PROF;DOBJ;ANAN;DFCL;AATR;OPRP;IMPR	Please choose one of the criteria to view the 5 best painters having the most portraits selected by the gallerist.	Veuillez choisir un des critères pour consulter les 5 meilleures peintres ayant le plus de portraits sélectionnés par la galeriste.	Veuillez choisir un des critères pour consulter les 5 meilleures peintres ayant le plus de portraits sélectionnés par le galeriste.	Veuillez choisir un des critères pour consulter les 5 meilleurs peintres ayant le plus de portraits sélectionnés par la galeriste.	Veuillez choisir un des critères pour consulter les 5 meilleurs peintres ayant le plus de portraits sélectionnés par le galeriste.	best [painters];gallerist	meilleures [peintres];la [galeriste]	meilleurs [peintres];le [galeriste]
SUBJ;IOBJ;FAM;PROF	The betrothed asked a mover some help with the transition.	La promise a demandé à une déménageuse de l’aide avec la transition.	La promise a demandé à un déménageur de l’aide avec la transition.	Le promis a demandé à une déménageuse de l’aide avec la transition.	Le promis a demandé à un déménageur de l’aide avec la transition.	betrothed;mover	la [promise];une [déménageuse]	le [promis];un [déménageur]
SUBJ;PLUR;DOBJ;OTH;NAT	The bikers attempted to take on the Cambodians.	Les motardes ont tenté d’affronter les Cambodgiennes.	Les motardes ont tenté d’affronter les Cambodgiens.	Les motards ont tenté d’affronter les Cambodgiennes.	Les motards ont tenté d’affronter les Cambodgiens.	bikers;Cambodians	motardes;Cambodgiennes	motards;Cambodgiens
OTH;SUBJ;DOBJ;FAM	The whistle blower could not find a confidant.	La lanceuse d’alerte n’a pas pu trouver de confidente.	La lanceuse d’alerte n’a pas pu trouver de confident.	Le lanceur d’alerte n’a pas pu trouver de confidente.	Le lanceur d’alerte n’a pas pu trouver de confident.	blower;confidant	la [lanceuse];confidente	le [lanceur];confident
SUBJ;PROF;DFCL	The boss has trouble hearing, so the secretary has to speak loud.	La patronne a du mal à entendre, alors la secrétaire doit parler fort.	La patronne a du mal à entendre, alors le secrétaire doit parler fort.	Le patron a du mal à entendre, alors la secrétaire doit parler fort.	Le patron a du mal à entendre, alors le secrétaire doit parler fort.	boss;secretary	la [patronne];la [secrétaire]	le [patron];le [secrétaire]
APRD;SUBJ;PLUR;FAM;ANAN;PROF	The brats invaded the park after 5 p.m. and the arborist was furious.	Les morveuses ont envahi le parc après 17 heures et l’arboricultrice était furieuse.	Les morveuses ont envahi le parc après 17 heures et l’arboriculteur était furieux.	Les morveux ont envahi le parc après 17 heures et l’arboricultrice était furieuse.	Les morveux ont envahi le parc après 17 heures et l’arboriculteur était furieux.	brats;arborist	morveuses;arboricultrice=furieuse	morveux;arboriculteur=furieux
ANAN;SUBJ;PLUR;OTH	With 3 international competitions each year, buffs and enthusiasts have a lot to cheer about.	Avec 3 compétitions internationales chaque année, les mordues et passionnées ont de quoi se réjouir.	Avec 3 compétitions internationales chaque année, les mordues et passionnés ont de quoi se réjouir.	Avec 3 compétitions internationales chaque année, les mordus et passionnées ont de quoi se réjouir.	Avec 3 compétitions internationales chaque année, les mordus et passionnés ont de quoi se réjouir.	buffs;enthusiasts	mordues;passionnées	mordus;passionnés
SUBJ;PLUR;PROF;GLNK	Businesspeople and industrialists meet here to have a drink.	Les femmes d’affaires et industrielles se rencontrent ici pour boire un verre.	Les femmes d’affaires et industriels se rencontrent ici pour boire un verre.	Les hommes d’affaires et industrielles se rencontrent ici pour boire un verre.	Les hommes d’affaires et industriels se rencontrent ici pour boire un verre.	businesspeople;industrialists	femmes;industrielles	hommes;industriels
SUBJ;OTH;GLNK	The buyer and the hawker will agree on a price.	L’acheteuse et la colporteuse se mettront d’accord sur le prix.	L’acheteuse et le colporteur se mettront d’accord sur le prix.	L’acheteur et la colporteuse se mettront d’accord sur le prix.	L’acheteur et le colporteur se mettront d’accord sur le prix.	buyer;hawker	acheteuse;la [colporteuse]	acheteur;le [colporteur]
PLUR;SUBJ;IOBJ;REL;GLNK	Calvinists differ from Lutherans on a number of doctrines.	Les calvinistes diffèrent des luthériennes sur un nombre de doctrines.	Les calvinistes diffèrent des luthériens sur un nombre de doctrines.	Les calvinistes diffèrent des luthériennes sur un nombre de doctrines.	Les calvinistes diffèrent des luthériens sur un nombre de doctrines.	Calvinists;Lutherans	calvinistes;luthériennes	calvinistes;luthériens
SUBJ;PLUR;DOBJ;NHUM	Do Capricorns hate Sagittarians?	Est-ce que les Capricornes détestent les Sagittaires ?	Est-ce que les Capricornes détestent les Sagittaires ?	Est-ce que les Capricornes détestent les Sagittaires ?	Est-ce que les Capricornes détestent les Sagittaires ?	Capricorns;Sagittarians	Capricornes;Sagittaires	Capricornes;Sagittaires
SUBJ;PROF;GLNK	The captain and sailor could not agree on the direction.	La capitaine et la marinette n’arrivaient pas à s’entendre sur la direction.	La capitaine et le marin n’arrivaient pas à s’entendre sur la direction.	Le capitaine et la marinette n’arrivaient pas à s’entendre sur la direction.	Le capitaine et le marin n’arrivaient pas à s’entendre sur la direction.	captain;sailor	la [capitaine];la [marinette]	le [capitaine];le [marin]
SUBJ;PLUR;FAM;ANAN;IOBJ	Caregivers will have to offer these teens more psychosocial support to relieve their stress.	Les aidantes devront offrir à ces ados plus de soutien psychosocial pour soulager leur stress.	Les aidantes devront offrir à ces ados plus de soutien psychosocial pour soulager leur stress.	Les aidants devront offrir à ces ados plus de soutien psychosocial pour soulager leur stress.	Les aidants devront offrir à ces ados plus de soutien psychosocial pour soulager leur stress.	caregivers;teens	aidantes;ados	aidants;ados
SUBJ;PLUR;DOBJ;ANAN;APPS;NAT;PROF	The caricaturist ranked the most important Hungarians today in the animated cartoon industry.	La caricaturiste a classé les Hongroises les plus importantes aujourd’hui dans l’industrie du dessin animé.	La caricaturiste a classé les Hongrois les plus importants aujourd’hui dans l’industrie du dessin animé.	Le caricaturiste a classé les Hongroises les plus importantes aujourd’hui dans l’industrie du dessin animé.	Le caricaturiste a classé les Hongrois les plus importants aujourd’hui dans l’industrie du dessin animé.	caricaturist;important [Hungarians]	la [caricaturiste];Hongroises=importantes	le [caricaturiste];Hongrois=importants
PLUR;IOBJ;PROF;GLNK	The association provides tools and materials to carpenters and joiners.	L’association fournit des outils et du matériel aux charpentières et menuisières.	L’association fournit des outils et du matériel aux charpentières et menuisiers.	L’association fournit des outils et du matériel aux charpentiers et menuisières.	L’association fournit des outils et du matériel aux charpentiers et menuisiers.	carpenters;joiners	charpentières;menuisières	charpentiers;menuisiers
SUBJ;PLUR;DOBJ;OTH;NAT	The casualties are suing the Congolese.	Les blessées poursuivent les Congolaises.	Les blessées poursuivent les Congolais.	Les blessés poursuivent les Congolaises.	Les blessés poursuivent les Congolais.	casualties;Congolese	blessées;Congolaises	blessés;Congolais
SUBJ;PLUR;NHUM;FRAG;GLNK	Like cats and dogs	Comme chattes et chiennes	Comme chattes et chiens	Comme chats et chiennes	Comme chats et chiens	cats;dogs	chattes;chiennes	chats;chiens
SUBJ;PLUR;OTH;GLNK	Censors and defamers of the movie viewed it as paternalistic and as the promotion of oppressions and barriers.	Les censeuses et les diffamatrices du film le considéraient comme paternaliste et comme la promotion d’oppressions et de barrières.	Les censeuses et les diffamateurs du film le considéraient comme paternaliste et comme la promotion d’oppressions et de barrières.	Les censeurs et les diffamatrices du film le considéraient comme paternaliste et comme la promotion d’oppressions et de barrières.	Les censeurs et les diffamateurs du film le considéraient comme paternaliste et comme la promotion d’oppressions et de barrières.	censors;defamers	censeuses;diffamatrices	censeurs;diffamateurs
SUBJ;PLUR;OTH;DFCL;AATR	These two central defenders should read what the possessors are trying to do with the ball.	Ces deux défenseuses centrales devraient lire ce que les possesseuses essaient de faire avec le ballon.	Ces deux défenseuses centrales devraient lire ce que les possesseurs essaient de faire avec le ballon.	Ces deux défenseurs centraux devraient lire ce que les possesseuses essaient de faire avec le ballon.	Ces deux défenseurs centraux devraient lire ce que les possesseurs essaient de faire avec le ballon.	central [defenders];possessors	[défenseuses] centrales;possesseuses	[défenseurs] centraux;possesseurs
SUBJ;PLUR;FAM;OTH;OPRP	The challenged need the consent of their legal guardian.	Les infirmes ont besoin du consentement de leur tutrice légale.	Les infirmes ont besoin du consentement de leur tuteur légal.	Les infirmes ont besoin du consentement de leur tutrice légale.	Les infirmes ont besoin du consentement de leur tuteur légal.	challenged;legal [guardian]	infirmes;[tutrice] légale	infirmes;[tuteur] légal
ANAN;SUBJ;PLUR;OTH;GLNK	The champions and medalists received national recognition.	Les championnes et médaillées ont reçu une reconnaissance nationale.	Les championnes et médaillés ont reçu une reconnaissance nationale.	Les champions et médaillées ont reçu une reconnaissance nationale.	Les champions et médaillés ont reçu une reconnaissance nationale.	champions;medalists	championnes;médaillées	champions;médaillés
SUBJ;PLUR;ANAN;IOBJ;OTH;PROF	The chancellor wants to convey clear leadership to the subordinates.	La chancelière veut transmettre une direction claire aux subordonnées.	La chancelière veut transmettre une direction claire aux subordonnés.	Le chancelier veut transmettre une direction claire aux subordonnées.	Le chancelier veut transmettre une direction claire aux subordonnés.	chancellor;subordinates	la [chancelière];subordonnées	le [chancelier];subordonnés
SUBJ;PLUR;DOBJ;REL;OTH	Charismatics love cheering the weak.	Les charismatiques adorent encourager les faibles.	Les charismatiques adorent encourager les faibles.	Les charismatiques adorent encourager les faibles.	Les charismatiques adorent encourager les faibles.	Charismatics;weak	charismatiques;faibles	charismatiques;faibles
ANAN;SUBJ;PLUR;PROF;GLNK	Chemists and biochemists devote their studies to new substances.	Les chimistes et biochimistes consacrent leurs études aux nouvelles substances.	Les chimistes et biochimistes consacrent leurs études aux nouvelles substances.	Les chimistes et biochimistes consacrent leurs études aux nouvelles substances.	Les chimistes et biochimistes consacrent leurs études aux nouvelles substances.	chemists;biochemists	chimistes;biochimistes	chimistes;biochimistes
PLUR;DOBJ;FAM	An education in this environment is an asset, helping your child to understand grownups better.	Une éducation dans ce milieu est un atout, aidant votre gosse à mieux comprendre les grandes.	Une éducation dans ce milieu est un atout, aidant votre gosse à mieux comprendre les grands.	Une éducation dans ce milieu est un atout, aidant votre gosse à mieux comprendre les grandes.	Une éducation dans ce milieu est un atout, aidant votre gosse à mieux comprendre les grands.	child;grownups	gosse;grandes	gosse;grands
APRD;SUBJ;ANAN;NAT;OPRP;PROF	The chiseler was awestruck by the woodwork of the Alaskan and how beautiful it was in the room.	La ciseleuse était ébahie par les boiseries de l’Alaskaine et combien elles étaient belles dans la salle.	La ciseleuse était ébahie par les boiseries de l’Alaskain et combien elles étaient belles dans la salle.	Le ciseleur était ébahi par les boiseries de l’Alaskaine et combien elles étaient belles dans la salle.	Le ciseleur était ébahi par les boiseries de l’Alaskain et combien elles étaient belles dans la salle.	chiseler;Alaskan	la [ciseleuse]=ébahie;Alaskaine	le [ciseleur]=ébahi;Alaskain
SUBJ;PROF;ANAN;IOBJ;DFCL;OTH	Once a claimant reaches the maximum payout limit, a conversion in the local currency is sent to the creator.	Dès qu’une demandeuse atteint le seuil de paiement maximum, une conversion dans la devise locale est envoyée à la créatrice.	Dès qu’une demandeuse atteint le seuil de paiement maximum, une conversion dans la devise locale est envoyée au créateur.	Dès qu’un demandeur atteint le seuil de paiement maximum, une conversion dans la devise locale est envoyée à la créatrice.	Dès qu’un demandeur atteint le seuil de paiement maximum, une conversion dans la devise locale est envoyée au créateur.	claimant;creator	une [demandeuse];à la [créatrice]	un [demandeur];au [créateur]
ANAN;PROF;DOBJ	It serves to have the necessary information to carry out a particular task, without having to look for a collaborator or coworker.	Cela sert d’avoir les informations nécessaires pour effectuer une tâche particulière, sans avoir à chercher une collaboratrice ou une collègue.	Cela sert d’avoir les informations nécessaires pour effectuer une tâche particulière, sans avoir à chercher une collaboratrice ou un collègue.	Cela sert d’avoir les informations nécessaires pour effectuer une tâche particulière, sans avoir à chercher un collaborateur ou une collègue.	Cela sert d’avoir les informations nécessaires pour effectuer une tâche particulière, sans avoir à chercher un collaborateur ou un collègue.	collaborator;coworker	une [collaboratrice];une [collègue]	un [collaborateur];un [collègue]
SUBJ;PLUR;ANAN;OTH;DFCL;OPRP	An interesting aspect of search engines, rarely noted by commentators, is that users cannot tailor the ideology of websites.	Un aspect intéressant des moteurs de recherche, rarement noté par les commentatrices, est que les utilisatrices ne peuvent pas paramétrer l’idéologie des sites web.	Un aspect intéressant des moteurs de recherche, rarement noté par les commentatrices, est que les utilisateurs ne peuvent pas paramétrer l’idéologie des sites web.	Un aspect intéressant des moteurs de recherche, rarement noté par les commentateurs, est que les utilisatrices ne peuvent pas paramétrer l’idéologie des sites web.	Un aspect intéressant des moteurs de recherche, rarement noté par les commentateurs, est que les utilisateurs ne peuvent pas paramétrer l’idéologie des sites web.	commentators;users	commentatrices;utilisatrices	commentateurs;utilisateurs
SUBJ;FAM;OPRP;IPRO	A companion facilitates someone's life.	Une accompagnatrice facilite la vie de quelqu’une.	Une accompagnatrice facilite la vie de quelqu’un.	Un accompagnateur facilite la vie de quelqu’une.	Un accompagnateur facilite la vie de quelqu’un.	companion;someone	une [accompagnatrice];quelqu’une	un [accompagnateur];quelqu’un
